Date,Lloyds_Close
2018-07-16,62.49
2018-07-17,62.45
2018-07-18,62.52
2018-07-19,62.46
2018-07-20,62.63
2018-07-23,62.29
2018-07-24,62.98
2018-07-25,62.44
2018-07-26,62.56
2018-07-27,62.6
2018-07-30,62.39
2018-07-31,62.38
2018-08-01,63.41
2018-08-02,62.71
2018-08-03,62.55
2018-08-06,62.57
2018-08-07,62.35
2018-08-08,62.18
2018-08-09,62.11
2018-08-10,61.86
2018-08-13,61.38
2018-08-14,60.98
2018-08-15,60.47
2018-08-16,60.1
2018-08-17,60.16
2018-08-20,60.37
2018-08-21,60.79
2018-08-22,61.0
2018-08-23,60.76
2018-08-24,60.84
2018-08-28,60.79
2018-08-29,60.46
2018-08-30,59.9
2018-08-31,59.3
2018-09-03,59.62
2018-09-04,60.35
2018-09-05,60.61
2018-09-06,59.91
2018-09-07,58.74
2018-09-10,59.37
2018-09-11,59.23
2018-09-12,58.88
2018-09-13,59.24
2018-09-14,58.88
2018-09-17,59.29
2018-09-18,59.5
2018-09-19,60.53
2018-09-20,61.59
2018-09-21,61.86
2018-09-24,61.66
2018-09-25,60.9
2018-09-26,60.74
2018-09-27,61.0
2018-09-28,59.27
2018-10-01,58.54
2018-10-02,57.47
2018-10-03,58.39
2018-10-04,58.93
2018-10-05,58.93
2018-10-08,58.16
2018-10-09,57.3
2018-10-10,59.11
2018-10-11,59.11
2018-10-12,58.15
2018-10-15,57.73
2018-10-16,57.36
